Tm,PassYds,RushYds,Year,def_rk
Tampa Bay Buccaneers,4451,1726,2007,2.0
New England Patriots,4613,1572,2007,4.0
San Diego Chargers,5124,1712,2007,14.0
Seattle Seahawks,5149,1644,2007,15.0
Green Bay Packers,5013,1647,2007,11.0
Tennessee Titans,4665,1478,2007,5.0
Philadelphia Eagles,4982,1533,2007,10.0
Jacksonville Jaguars,5021,1605,2007,12.0
Washington Redskins,4884,1460,2007,8.0
Minnesota Vikings,5410,1185,2007,20.0
Dallas Cowboys,4922,1513,2007,9.0
Kansas City Chiefs,5111,2089,2007,13.0
Carolina Panthers,5197,1771,2007,16.0
Chicago Bears,5675,1967,2007,28.0
New York Giants,4880,1563,2007,7.0
Buffalo Bills,5807,1993,2007,31.0
New York Jets,5310,2156,2007,18.0
San Francisco 49ers,5539,1896,2007,25.0
Cleveland Browns,5753,2072,2007,30.0
Houston Texans,5507,1825,2007,24.0
Baltimore Ravens,4825,1268,2007,6.0
Cincinnati Bengals,5580,1893,2007,27.0
New Orleans Saints,5570,1646,2007,26.0
Oakland Raiders,5466,2334,2007,22.0
Arizona Cardinals,5283,1567,2007,17.0
Denver Broncos,5376,2282,2007,19.0
Atlanta Falcons,5688,2033,2007,29.0
Miami Dolphins,5475,2456,2007,23.0
St. Louis Rams,5457,1844,2007,21.0
Detroit Lions,6042,1911,2007,32.0
Pittsburgh Steelers,3795,1284,2008,1.0
Tennessee Titans,4698,1502,2008,7.0
Baltimore Ravens,4177,1302,2008,2.0
Philadelphia Eagles,4389,1476,2008,3.0
New York Giants,4672,1533,2008,5.0
Washington Redskins,4621,1526,2008,4.0
Indianapolis Colts,4975,1966,2008,11.0
New England Patriots,4944,1722,2008,10.0
Miami Dolphins,5264,1620,2008,15.0
Tampa Bay Buccaneers,4898,1901,2008,9.0
Atlanta Falcons,5566,2040,2008,24.0
Carolina Panthers,5299,1912,2008,18.0
Minnesota Vikings,4679,1230,2008,6.0
Buffalo Bills,5217,1946,2008,14.0
San Diego Chargers,5599,1641,2008,25.0
Chicago Bears,5355,1496,2008,21.0
Cleveland Browns,5704,2431,2008,26.0
New York Jets,5270,1518,2008,16.0
Cincinnati Bengals,5208,1921,2008,12.0
Dallas Cowboys,4709,1706,2008,8.0
Jacksonville Jaguars,5295,1709,2008,17.0
Green Bay Packers,5349,2105,2008,20.0
San Francisco 49ers,5216,1709,2008,13.0
Oakland Raiders,5775,2555,2008,27.0
Seattle Seahawks,6048,1899,2008,30.0
New Orleans Saints,5432,1885,2008,23.0
Houston Texans,5385,1962,2008,22.0
Arizona Cardinals,5304,1764,2008,19.0
Kansas City Chiefs,6291,2543,2008,31.0
Denver Broncos,5993,2337,2008,29.0
St. Louis Rams,5950,2475,2008,28.0
Detroit Lions,6470,2754,2008,32.0
New York Jets,4037,1578,2009,1.0
Dallas Cowboys,5054,1448,2009,9.0
Baltimore Ravens,4808,1492,2009,3.0
San Francisco 49ers,5222,1552,2009,15.0
New England Patriots,5123,1768,2009,11.0
Cincinnati Bengals,4822,1573,2009,4.0
Green Bay Packers,4551,1333,2009,2.0
Indianapolis Colts,5427,2024,2009,18.0
Carolina Panthers,5053,1997,2009,8.0
Minnesota Vikings,4888,1394,2009,6.0
San Diego Chargers,5232,1884,2009,16.0
Denver Broncos,5040,2059,2009,7.0
Pittsburgh Steelers,4885,1438,2009,5.0
Atlanta Falcons,5582,1711,2009,21.0
Arizona Cardinals,5543,1804,2009,20.0
Buffalo Bills,5449,2501,2009,19.0
Houston Texans,5198,1711,2009,13.0
Washington Redskins,5115,1799,2009,10.0
Philadelphia Eagles,5137,1675,2009,12.0
New Orleans Saints,5724,1955,2009,25.0
Cleveland Browns,6229,2314,2009,31.0
Chicago Bears,5404,2022,2009,17.0
Oakland Raiders,5791,2488,2009,26.0
Jacksonville Jaguars,5637,1863,2009,23.0
Miami Dolphins,5589,1835,2009,22.0
Seattle Seahawks,5703,1776,2009,24.0
Tampa Bay Buccaneers,5849,2531,2009,27.0
Tennessee Titans,5850,1711,2009,28.0
Kansas City Chiefs,6211,2504,2009,30.0
New York Giants,5198,1773,2009,13.0
St. Louis Rams,5965,2201,2009,29.0
Detroit Lions,6274,2025,2009,32.0
Pittsburgh Steelers,4429,1004,2010,2.0
Green Bay Packers,4945,1838,2010,5.0
Baltimore Ravens,5102,1503,2010,10.0
Chicago Bears,5029,1441,2010,9.0
Atlanta Falcons,5319,1694,2010,16.0
New York Jets,4664,1454,2010,3.0
New Orleans Saints,4900,1797,2010,4.0
New England Patriots,5864,1728,2010,25.0
Tampa Bay Buccaneers,5323,2107,2010,17.0
San Diego Chargers,4345,1500,2010,1.0
Kansas City Chiefs,5283,1764,2010,14.0
St. Louis Rams,5388,1810,2010,19.0
Cleveland Browns,5601,2070,2010,22.0
Miami Dolphins,4949,1601,2010,6.0
Tennessee Titans,5883,1851,2010,26.0
San Francisco 49ers,5244,1547,2010,13.0
New York Giants,4990,1620,2010,7.0
Minnesota Vikings,5002,1635,2010,8.0
Detroit Lions,5497,1999,2010,21.0
Oakland Raiders,5165,2138,2010,11.0
Philadelphia Eagles,5235,1766,2010,12.0
Washington Redskins,6228,2041,2010,31.0
Indianapolis Colts,5465,2032,2010,20.0
Cincinnati Bengals,5312,1843,2010,15.0
Seattle Seahawks,5897,1903,2010,27.0
Carolina Panthers,5374,1981,2010,18.0
Jacksonville Jaguars,5949,1945,2010,28.0
Buffalo Bills,5786,2714,2010,24.0
Houston Texans,6031,1751,2010,30.0
Arizona Cardinals,5977,2323,2010,29.0
Dallas Cowboys,5628,1734,2010,23.0
Denver Broncos,6253,2473,2010,32.0
Pittsburgh Steelers,4348,1597,2011,1.0
San Francisco 49ers,4931,1236,2011,4.0
Baltimore Ravens,4622,1482,2011,3.0
Houston Texans,4571,1536,2011,2.0
Cleveland Browns,5318,2359,2011,10.0
Miami Dolphins,5522,1530,2011,15.0
Seattle Seahawks,5315,1797,2011,9.0
Tennessee Titans,5682,2053,2011,18.0
Cincinnati Bengals,5060,1675,2011,7.0
Philadelphia Eagles,5198,1801,2011,8.0
Jacksonville Jaguars,5008,1667,2011,6.0
Kansas City Chiefs,5333,2112,2011,11.0
New Orleans Saints,5895,1738,2011,24.0
Chicago Bears,5607,1542,2011,17.0
New England Patriots,6577,1874,2011,31.0
Dallas Cowboys,5491,1585,2011,14.0
Arizona Cardinals,5682,1986,2011,18.0
Atlanta Falcons,5338,1552,2011,12.0
Green Bay Packers,6585,1789,2011,32.0
New York Jets,4993,1777,2011,5.0
Washington Redskins,5437,1884,2011,13.0
San Diego Chargers,5546,1955,2011,16.0
Detroit Lions,5881,2050,2011,23.0
Denver Broncos,5725,2021,2011,20.0
New York Giants,6022,1940,2011,27.0
St. Louis Rams,5734,2433,2011,22.0
Carolina Panthers,6042,2093,2011,28.0
Indianapolis Colts,5935,2303,2011,25.0
Oakland Raiders,6201,2178,2011,29.0
Buffalo Bills,5938,2224,2011,26.0
Minnesota Vikings,5731,1712,2011,21.0
Tampa Bay Buccaneers,6311,2497,2011,30.0
Seattle Seahawks,4899,1649,2012,4.0
San Francisco 49ers,4710,1507,2012,3.0
Chicago Bears,5050,1627,2012,5.0
Denver Broncos,4652,1458,2012,2.0
Atlanta Falcons,5849,1971,2012,24.0
Pittsburgh Steelers,4413,1450,2012,1.0
Miami Dolphins,5708,1734,2012,21.0
Cincinnati Bengals,5115,1715,2012,6.0
Houston Texans,5172,1560,2012,7.0
New England Patriots,5972,1630,2012,25.0
Green Bay Packers,5388,1896,2012,11.0
Baltimore Ravens,5615,1965,2012,17.0
New York Giants,6134,2066,2012,31.0
Minnesota Vikings,5600,1692,2012,16.0
St. Louis Rams,5482,1880,2012,14.0
San Diego Chargers,5223,1542,2012,9.0
Arizona Cardinals,5405,2192,2012,12.0
Carolina Panthers,5329,1761,2012,10.0
Cleveland Browns,5821,1898,2012,23.0
New York Jets,5174,2138,2012,8.0
Indianapolis Colts,5988,2200,2012,26.0
Washington Redskins,6043,1532,2012,28.0
Tampa Bay Buccaneers,6078,1320,2012,29.0
Dallas Cowboys,5687,2003,2012,19.0
Kansas City Chiefs,5704,2171,2012,20.0
Buffalo Bills,5806,2333,2012,22.0
Detroit Lions,5458,1889,2012,13.0
Oakland Raiders,5672,1897,2012,18.0
Philadelphia Eagles,5491,2021,2012,15.0
Jacksonville Jaguars,6088,2256,2012,30.0
New Orleans Saints,7042,2361,2012,32.0
Tennessee Titans,5999,2035,2012,27.0
Seattle Seahawks,4378,1626,2013,1.0
Carolina Panthers,4820,1391,2013,2.0
San Francisco 49ers,5071,1535,2013,5.0
New Orleans Saints,4891,1786,2013,4.0
Cincinnati Bengals,4888,1544,2013,3.0
Kansas City Chiefs,5885,1923,2013,24.0
Arizona Cardinals,5079,1351,2013,6.0
Miami Dolphins,5750,1998,2013,21.0
Indianapolis Colts,5713,2002,2013,20.0
New England Patriots,5969,2145,2013,26.0
San Diego Chargers,5864,1725,2013,23.0
Baltimore Ravens,5368,1687,2013,12.0
St. Louis Rams,5520,1646,2013,15.0
Pittsburgh Steelers,5395,1849,2013,13.0
Detroit Lions,5546,1596,2013,16.0
Tennessee Titans,5407,1795,2013,14.0
Philadelphia Eagles,6304,1668,2013,29.0
New York Giants,5316,1743,2013,8.0
New York Jets,5359,1412,2013,11.0
Buffalo Bills,5334,2063,2013,10.0
Tampa Bay Buccaneers,5568,1762,2013,17.0
Denver Broncos,5696,1626,2013,19.0
Cleveland Browns,5319,1781,2013,9.0
Houston Texans,5081,1958,2013,7.0
Green Bay Packers,5956,2000,2013,25.0
Dallas Cowboys,6645,2056,2013,32.0
Atlanta Falcons,6070,2173,2013,27.0
Jacksonville Jaguars,6070,2108,2013,27.0
Oakland Raiders,5819,1727,2013,22.0
Washington Redskins,5665,1769,2013,18.0
Chicago Bears,6313,2583,2013,30.0
Minnesota Vikings,6362,1767,2013,31.0
Seattle Seahawks,4274,1304,2014,1.0
Kansas City Chiefs,5288,2036,2014,7.0
Detroit Lions,4815,1109,2014,2.0
Buffalo Bills,4995,1703,2014,4.0
Arizona Cardinals,5891,1739,2014,24.0
Baltimore Ravens,5391,1412,2014,8.0
Houston Texans,5571,1681,2014,16.0
New England Patriots,5506,1669,2014,13.0
Cleveland Browns,5857,2265,2014,23.0
San Francisco 49ers,5143,1612,2014,5.0
Minnesota Vikings,5515,1943,2014,14.0
Cincinnati Bengals,5749,1861,2014,22.0
San Diego Chargers,5413,1986,2014,9.0
Green Bay Packers,5542,1919,2014,15.0
Dallas Cowboys,5681,1650,2014,19.0
Denver Broncos,4883,1276,2014,3.0
St. Louis Rams,5626,1765,2014,17.0
Pittsburgh Steelers,5654,1605,2014,18.0
Indianapolis Colts,5483,1814,2014,11.0
Miami Dolphins,5494,1937,2014,12.0
Carolina Panthers,5437,1792,2014,10.0
Philadelphia Eagles,6009,1771,2014,28.0
New York Giants,6012,2162,2014,29.0
New York Jets,5235,1489,2014,6.0
Tampa Bay Buccaneers,5903,1819,2014,25.0
Jacksonville Jaguars,5932,2033,2014,26.0
Atlanta Falcons,6372,1894,2014,32.0
New Orleans Saints,6144,2125,2014,31.0
Washington Redskins,5712,1722,2014,20.0
Tennessee Titans,5968,2195,2014,27.0
Chicago Bears,6033,1803,2014,30.0
Oakland Raiders,5721,1911,2014,21.0
Seattle Seahawks,4668,1304,2015,2.0
Cincinnati Bengals,5453,1477,2015,11.0
Kansas City Chiefs,5269,1571,2015,7.0
Denver Broncos,4530,1337,2015,1.0
Minnesota Vikings,5510,1748,2015,13.0
Carolina Panthers,5167,1415,2015,6.0
Arizona Cardinals,5147,1460,2015,5.0
Houston Texans,4963,1597,2015,3.0
New York Jets,5098,1335,2015,4.0
New England Patriots,5430,1578,2015,9.0
Pittsburgh Steelers,5809,1459,2015,21.0
Green Bay Packers,5547,1905,2015,15.0
St. Louis Rams,5885,1820,2015,23.0
Atlanta Falcons,5562,1680,2015,16.0
Buffalo Bills,5702,1730,2015,19.0
Dallas Cowboys,5567,1931,2015,17.0
Washington Redskins,6090,1962,2015,28.0
San Francisco 49ers,6199,2020,2015,29.0
Miami Dolphins,6019,2019,2015,25.0
Chicago Bears,5527,1934,2015,14.0
San Diego Chargers,5791,2005,2015,20.0
Oakland Raiders,5818,1678,2015,22.0
Detroit Lions,5597,1808,2015,18.0
Baltimore Ravens,5398,1661,2015,8.0
Indianapolis Colts,6066,1952,2015,26.0
Tampa Bay Buccaneers,5446,1606,2015,10.0
Tennessee Titans,5475,1797,2015,12.0
Philadelphia Eagles,6426,2153,2015,30.0
Cleveland Browns,6067,2055,2015,27.0
New York Giants,6725,1942,2015,32.0
Jacksonville Jaguars,6000,1709,2015,24.0
New Orleans Saints,6615,2071,2015,31.0
New England Patriots,5223,1417,2016,8.0
New York Giants,5435,1417,2016,10.0
Seattle Seahawks,5099,1487,2016,5.0
Denver Broncos,5057,2085,2016,4.0
Dallas Cowboys,5503,1336,2016,14.0
Minnesota Vikings,5038,1711,2016,3.0
Kansas City Chiefs,5896,1938,2016,24.0
Cincinnati Bengals,5612,1812,2016,17.0
Baltimore Ravens,5154,1430,2016,7.0
Pittsburgh Steelers,5482,1600,2016,12.0
Houston Texans,4821,1595,2016,1.0
Philadelphia Eagles,5484,1652,2016,13.0
Detroit Lions,5676,1701,2016,18.0
Arizona Cardinals,4883,1518,2016,2.0
Tampa Bay Buccaneers,5887,1875,2016,23.0
Tennessee Titans,5720,1413,2016,20.0
Buffalo Bills,5712,2130,2016,19.0
Miami Dolphins,6122,2247,2016,29.0
Washington Redskins,6046,1916,2016,28.0
Oakland Raiders,6001,1881,2016,26.0
Green Bay Packers,5823,1515,2016,22.0
Indianapolis Colts,6126,1926,2016,30.0
Los Angeles Rams,5392,1660,2016,9.0
Chicago Bears,5548,1950,2016,15.0
Jacksonville Jaguars,5147,1703,2016,6.0
Carolina Panthers,5756,1465,2016,21.0
Atlanta Falcons,5939,1672,2016,25.0
New York Jets,5479,1581,2016,11.0
San Diego Chargers,5554,1567,2016,16.0
Cleveland Browns,6279,2283,2016,31.0
New Orleans Saints,6006,1626,2016,27.0
San Francisco 49ers,6502,2654,2016,32.0
Minnesota Vikings,4415,1337,2017,1.0
Jacksonville Jaguars,4578,1860,2017,2.0
Los Angeles Chargers,5254,2098,2017,15.0
Philadelphia Eagles,4904,1267,2017,4.0
New England Patriots,5856,1836,2017,29.0
Baltimore Ravens,5201,1780,2017,12.0
Pittsburgh Steelers,4910,1693,2017,5.0
Atlanta Falcons,5094,1665,2017,9.0
Chicago Bears,5106,1730,2017,10.0
New Orleans Saints,5384,1787,2017,17.0
Carolina Panthers,5074,1409,2017,7.0
Los Angeles Rams,5432,1957,2017,19.0
Dallas Cowboys,5089,1664,2017,8.0
Seattle Seahawks,5171,1824,2017,11.0
Kansas City Chiefs,5842,1890,2017,28.0
Cincinnati Bengals,5425,2046,2017,18.0
Tennessee Titans,5248,1420,2017,13.0
Buffalo Bills,5682,1994,2017,26.0
Arizona Cardinals,4973,1432,2017,6.0
Oakland Raiders,5601,1743,2017,23.0
Detroit Lions,5692,1800,2017,27.0
New York Jets,5636,1887,2017,25.0
Denver Broncos,4640,1430,2017,3.0
Tampa Bay Buccaneers,6049,1880,2017,32.0
San Francisco 49ers,5625,1861,2017,24.0
Green Bay Packers,5582,1793,2017,22.0
New York Giants,5971,1933,2017,31.0
Washington Redskins,5566,2146,2017,21.0
Miami Dolphins,5371,1768,2017,16.0
Indianapolis Colts,5873,1927,2017,30.0
Cleveland Browns,5250,1566,2017,14.0
Houston Texans,5546,1747,2017,20.0
Chicago Bears,4795,1280,2018,3.0
Baltimore Ravens,4687,1327,2018,1.0
Tennessee Titans,5334,1863,2018,8.0
Houston Texans,5490,1323,2018,12.0
Jacksonville Jaguars,4983,1870,2018,5.0
Dallas Cowboys,5268,1513,2018,7.0
New England Patriots,5746,1803,2018,21.0
Los Angeles Chargers,5339,1693,2018,9.0
Minnesota Vikings,4955,1815,2018,4.0
Indianapolis Colts,5435,1630,2018,11.0
Seattle Seahawks,5653,1811,2018,16.0
Philadelphia Eagles,5859,1551,2018,23.0
Denver Broncos,5842,1913,2018,22.0
New Orleans Saints,5585,1283,2018,14.0
Washington Redskins,5654,1860,2018,17.0
Detroit Lions,5360,1761,2018,10.0
Pittsburgh Steelers,5235,1538,2018,6.0
Buffalo Bills,4706,1839,2018,2.0
Carolina Panthers,5651,1804,2018,15.0
Los Angeles Rams,5737,1957,2018,19.0
Cleveland Browns,6288,2163,2018,30.0
Green Bay Packers,5670,1918,2018,18.0
New York Giants,5942,1898,2018,24.0
Kansas City Chiefs,6488,2114,2018,31.0
Atlanta Falcons,6152,1999,2018,28.0
Arizona Cardinals,5741,2479,2018,20.0
Miami Dolphins,6257,2325,2018,29.0
San Francisco 49ers,5546,1814,2018,13.0
New York Jets,6086,2021,2018,25.0
Cincinnati Bengals,6618,2204,2018,32.0
Tampa Bay Buccaneers,6134,1983,2018,27.0
Oakland Raiders,6102,2249,2018,26.0
New England Patriots,4414,1528,2019,1.0
Buffalo Bills,4772,1649,2019,3.0
Baltimore Ravens,4809,1494,2019,4.0
Chicago Bears,5186,1632,2019,8.0
Minnesota Vikings,5465,1728,2019,14.0
Pittsburgh Steelers,4866,1753,2019,5.0
Kansas City Chiefs,5594,2051,2019,17.0
San Francisco 49ers,4509,1802,2019,2.0
Green Bay Packers,5642,1921,2019,18.0
Denver Broncos,5392,1783,2019,12.0
Dallas Cowboys,5232,1656,2019,9.0
Tennessee Titans,5752,1672,2019,21.0
New Orleans Saints,5329,1461,2019,11.0
Los Angeles Chargers,5009,1805,2019,6.0
Philadelphia Eagles,5307,1442,2019,10.0
New York Jets,5170,1391,2019,7.0
Los Angeles Rams,5434,1809,2019,13.0
Indianapolis Colts,5549,1567,2019,16.0
Houston Texans,6213,1937,2019,28.0
Cleveland Browns,5785,2315,2019,22.0
Jacksonville Jaguars,6007,2229,2019,24.0
Seattle Seahawks,6106,1883,2019,26.0
Atlanta Falcons,5693,1775,2019,20.0
Oakland Raiders,5677,1570,2019,19.0
Cincinnati Bengals,6299,2382,2019,29.0
Detroit Lions,6406,1855,2019,31.0
Washington Redskins,6162,2339,2019,27.0
Arizona Cardinals,6432,1922,2019,32.0
Tampa Bay Buccaneers,5503,1181,2019,15.0
New York Giants,6037,1812,2019,25.0
Carolina Panthers,5992,2296,2019,23.0
Miami Dolphins,6364,2166,2019,30.0
Los Angeles Rams,4511,1460,2020,1.0
Baltimore Ravens,5276,1740,2020,7.0
Pittsburgh Steelers,4893,1783,2020,3.0
Washington Football Team,4873,1805,2020,2.0
New Orleans Saints,4974,1502,2020,4.0
Miami Dolphins,5886,1862,2020,20.0
New England Patriots,5660,2103,2020,15.0
Tampa Bay Buccaneers,5234,1289,2020,6.0
New York Giants,5589,1782,2020,12.0
Indianapolis Colts,5314,1448,2020,8.0
Kansas City Chiefs,5733,1954,2020,16.0
Arizona Cardinals,5631,2008,2020,13.0
Green Bay Packers,5344,1805,2020,9.0
Chicago Bears,5519,1814,2020,11.0
Seattle Seahawks,6089,1529,2020,22.0
Buffalo Bills,5640,1914,2020,14.0
San Francisco 49ers,5030,1703,2020,5.0
Carolina Panthers,5761,1936,2020,18.0
Atlanta Falcons,6374,1677,2020,29.0
Philadelphia Eagles,5810,2012,2020,19.0
Cleveland Browns,5735,1773,2020,17.0
Cincinnati Bengals,6227,2368,2020,26.0
Los Angeles Chargers,5495,1917,2020,10.0
Tennessee Titans,6372,1933,2020,28.0
Denver Broncos,5887,2080,2020,21.0
New York Jets,6201,1792,2020,24.0
Houston Texans,6668,2564,2020,30.0
Dallas Cowboys,6183,2541,2020,23.0
Minnesota Vikings,6292,2151,2020,27.0
Las Vegas Raiders,6225,2013,2020,25.0
Jacksonville Jaguars,6683,2452,2020,31.0
Detroit Lions,6716,2158,2020,32.0
Buffalo Bills,4637,1866,2021,1.0
New England Patriots,5284,2103,2021,4.0
Denver Broncos,5544,1892,2021,8.0
New Orleans Saints,5410,1589,2021,7.0
Tampa Bay Buccaneers,5635,1573,2021,13.0
Tennessee Titans,5607,1438,2021,12.0
Dallas Cowboys,5967,1918,2021,19.0
Kansas City Chiefs,6272,1999,2021,27.0
San Francisco 49ers,5270,1760,2021,3.0
Indianapolis Colts,5834,1854,2021,16.0
Arizona Cardinals,5597,1952,2021,11.0
Seattle Seahawks,6445,1932,2021,28.0
Green Bay Packers,5579,1855,2021,9.0
Cleveland Browns,5296,1857,2021,5.0
Los Angeles Rams,5863,1754,2021,17.0
Miami Dolphins,5738,1867,2021,15.0
Cincinnati Bengals,5964,1742,2021,18.0
Philadelphia Eagles,5590,1834,2021,10.0
Baltimore Ravens,6178,1436,2021,25.0
Pittsburgh Steelers,6139,2483,2021,24.0
Carolina Panthers,5201,1935,2021,2.0
Chicago Bears,5384,2127,2021,6.0
New York Giants,6032,2193,2021,21.0
Minnesota Vikings,6522,2222,2021,30.0
Washington Football Team,6108,1775,2021,22.0
Las Vegas Raiders,5732,1943,2021,14.0
Houston Texans,6535,2418,2021,31.0
Jacksonville Jaguars,6002,2127,2021,20.0
Atlanta Falcons,6194,2242,2021,26.0
Los Angeles Chargers,6122,2361,2021,23.0
Detroit Lions,6456,2296,2021,29.0
New York Jets,6760,2351,2021,32.0
San Francisco 49ers,5110,1321,2022,2.0
Buffalo Bills,5106,1673,2022,1.0
Baltimore Ravens,5513,1566,2022,10.0
New York Jets,5288,2068,2022,5.0
Cincinnati Bengals,5371,1706,2022,7.0
Dallas Cowboys,5613,2198,2022,13.0
Washington Commanders,5178,1926,2022,4.0
Philadelphia Eagles,5125,2068,2022,3.0
New Orleans Saints,5352,2218,2022,6.0
Pittsburgh Steelers,5617,1838,2022,14.0
New England Patriots,5474,1793,2022,9.0
Jacksonville Jaguars,6006,1951,2022,24.0
Tampa Bay Buccaneers,5513,2052,2022,10.0
Denver Broncos,5440,1866,2022,8.0
Tennessee Titans,5978,1307,2022,23.0
Kansas City Chiefs,5579,1823,2022,12.0
Green Bay Packers,5721,2372,2022,17.0
New York Giants,6089,2451,2022,25.0
Carolina Panthers,5953,2085,2022,22.0
Cleveland Browns,5631,2295,2022,15.0
Los Angeles Chargers,5884,2478,2022,20.0
Los Angeles Rams,5798,1956,2022,19.0
Atlanta Falcons,6156,2214,2022,27.0
Miami Dolphins,5743,1751,2022,18.0
Seattle Seahawks,6149,2554,2022,26.0
Las Vegas Raiders,6216,2087,2022,28.0
Houston Texans,6452,2894,2022,30.0
Minnesota Vikings,6608,2093,2022,31.0
Detroit Lions,6670,2491,2022,32.0
Indianapolis Colts,5678,2109,2022,16.0
Arizona Cardinals,5931,2016,2022,21.0
Chicago Bears,6390,2674,2022,29.0
Baltimore Ravens,5123,1860,2023,6.0
Kansas City Chiefs,4926,1925,2023,2.0
San Francisco 49ers,5167,1525,2023,8.0
Buffalo Bills,5222,1880,2023,9.0
Dallas Cowboys,5095,1910,2023,5.0
Pittsburgh Steelers,5816,1956,2023,21.0
Tampa Bay Buccaneers,5852,1620,2023,23.0
New Orleans Saints,5562,2038,2023,13.0
Las Vegas Raiders,5625,2015,2023,15.0
Green Bay Packers,5696,2181,2023,17.0
Houston Texans,5622,1643,2023,14.0
New York Jets,4969,2108,2023,3.0
Minnesota Vikings,5664,1678,2023,16.0
Cleveland Browns,4593,1793,2023,1.0
New England Patriots,5127,1584,2023,7.0
Tennessee Titans,5697,1831,2023,18.0
Jacksonville Jaguars,5828,1752,2023,22.0
Atlanta Falcons,5458,2009,2023,11.0
Los Angeles Rams,5744,1816,2023,20.0
Chicago Bears,5511,1468,2023,12.0
Cincinnati Bengals,6368,2145,2023,31.0
Miami Dolphins,5411,1650,2023,10.0
Detroit Lions,5714,1509,2023,19.0
Los Angeles Chargers,6170,1924,2023,28.0
Seattle Seahawks,6313,2352,2023,30.0
New York Giants,6149,2251,2023,27.0
Denver Broncos,6303,2331,2023,29.0
Indianapolis Colts,5947,2105,2023,24.0
Carolina Panthers,4997,2081,2023,4.0
Philadelphia Eagles,6054,1758,2023,26.0
Arizona Cardinals,6047,2434,2023,25.0
Washington Commanders,6612,2155,2023,32.0
